ID_Empreendimento;Nome_Local;Cidade;Corede_Regiao;Tipo_Estabelecimento;Endereco_Completo;Preco_Medio;Nota_Avaliacao;Link_Acesso;Contato_Telefonico;Campo_Extra_Observacoes
148;Hotel Del Rey Delizeu Antônio Fiorim;São Borja;Missões;Pousada;Hotel Del Rey Delizeu Antônio Fiorim;0,00;4;https://www.pousadas.vip/sobre/hotel-del-rey-delizeu-antonio-fiorim-sao-borja-rs;(55) 3431-9324;
149;Pousada Samborjense;São Borja;Missões;Pousada;Pousada Samborjense;0,00;3,7;https://br.todosnegocios.com/pt/pousada-samborjense-55-3431-6992;(55) 3431-6992;
150;Origens Hotel;São Luiz Gonzaga;Missões;Hotel;Origens Hotel;376,00;4,9;https://www.origenshotel.com.br/;(55) 98119-0085;
151;Cometa Plaza Hotel;São Luiz Gonzaga;Missões;Hotel;Cometa Plaza Hotel;299,00;4;https://cometaplazahotel.com.br/;(55) 3352-7071;
152;Hotel Ipê ""Sob nova Direção"";São Luiz Gonzaga;Missões;Hotel;Hotel Ipê ""Sob nova Direção"";261,00;4,1;https://www.facebook.com/p/Hotel-e-Pousada-IP%C3%8A-100064816877110/;(55) 3352-1575;
153;Lena Hotel;São Luiz Gonzaga;Missões;Hotel;Lena Hotel;240,00;4,2;https://www.instagram.com/hotel.lena/;(55) 99615-6452;
154;Hotel Mário;São Luiz Gonzaga;Missões;Hotel;Hotel Mário;0,00;4;https://www.facebook.com/profile.php?id=141498999254597&_rdr;(55) 99941-7440;
155;Xerife Hotel;São Luiz Gonzaga;Missões;Hotel;Xerife Hotel - NOVA DIREÇÃO;0,00;4,1;https://www.facebook.com/p/Xerife-Hotel-100028388813706/?locale=pt_BR;(55) 98401-4128;
156;Torre Hotel;São Luiz Gonzaga;Missões;Hotel;Torre Hotel;0,00;4;https://www.facebook.com/p/Torre-Hotel-Hopedagem-SLG-100066401028348/;(55) 3352-2616;
157;Hotel Pousada Recanto II;São Luiz Gonzaga;Missões;Pousada;Hotel Pousada Recanto II;0,00;4,1;https://www.facebook.com/marlenefatimacigana/?locale=pt_BR;(55) 99944-4266;
158;Pousada das Missões;São Miguel das Missões;Missões;Pousada;Pousada das Missões;379,00;4,6;http://www.pousadadasmissoes.com.br/;(55) 98161-5722;
159;Hotel Barichello;São Miguel das Missões;Missões;Hotel;Hotel Barichello;278,00;4,2;https://www.instagram.com/hotelbarichello/;(55) 99681-1272;
160;Tenondé Park Hotel;São Miguel das Missões;Missões;Hotel;Tenondé Park Hotel;467,00;4,7;https://tenonde.com.br/;(55) 3381-2000;
161;Jada Hotel;São Miguel das Missões;Missões;Hotel;Jada Hotel;0,00;4,6;https://www.facebook.com/HotelJADA/?locale=pt_BR;(55) 99730-4442;
162;Pousada Avambae;São Miguel das Missões;Missões;Pousada;Pousada Avambae;0,00;4,9;https://www.instagram.com/pousada_avambae/;(55) 99712-8541;
163;Pousada Jardim;São Miguel das Missões;Missões;Pousada;Pousada Jardim;0,00;4,9;https://www.instagram.com/pousadajardimsaomiguel/;(55) 9641-4399;
164;Cantinho aconchegante;São Miguel das Missões;Missões;Pousada;Cantinho aconchegante;0,00;4,7;https://www.google.com/maps/place/Cantinho+aconchegante/data=!4m2!3m1!19sChIJ-0c9r7v3_pQRDS-v_B6uvw8;(55) 99727-1915;Atualizado
165;Recanto da Mata;São Miguel das Missões;Missões;Pousada;Recanto da Mata;0,00;5;https://www.instagram.com/recantodamata_smm/;(55) 99931-9957;
166;Pousada Arcanjo;São Miguel das Missões;Missões;Pousada;Pousada Arcanjo;0,00;5;https://www.airbnb.com.br/rooms/1288523263742018124?source_impression_id=p3_1767884038_P3ir0FiYe0h5Njca;(55) 99905-2043;
167;Cabana Valle dos Sonhos;São Miguel das Missões;Missões;Cabana/Chalé;Cabana Valle dos Sonhos;0,00;4;https://www.instagram.com/cabana_valledossonhos/;(55) 99662-7269;
168;Pousada dos Jesuítas;São Nicolau;Missões;Pousada;Pousada dos Jesuítas;0,00;4,4;https://www.instagram.com/pousadadosjesuitas/;(55) 99958-1951;
169;Hotel da Jura;São Nicolau;Missões;Hotel;Hotel da Jura;0,00;4,4;https://www.instagram.com/hoteldajura/;(54) 99714-6336;
170;Pousada Paraíso JG;São Pedro do Butiá;Missões;Pousada;Pousada Paraíso JG;0,00;5;https://www.instagram.com/paraisopousadajg/;(55) 99726-5108;
171;Hotel Raios de Sol Missioneiro;São Pedro do Butiá;Missões;Hotel;Hotel Raios de Sol Missioneiro;0,00;4,7;https://www.instagram.com/hrsmissioneiro/;(55) 99681-1515;
172;Restaurante Pousada E Lancheiria Do Bolão;Vitória das Missões;Missões;Pousada;Restaurante Pousada E Lancheiria Do Bolão;0,00;4,3;https://www.instagram.com/explore/locations/1631796040465152/restaurante-a-pousada-do-bolao/;(55) 98414-3443;
173;Gullas Hotel;Ajuricaba;Noroeste Colonial;Hotel;Gullas Hotel, Restaurante, Lancheria e Sorveteria;0,00;3,9;https://www.facebook.com/gullasehotel/?locale=pt_BR;(55) 3387-2019;
174;Moinho Arroio Leão;Catuípe;Noroeste Colonial;Cabana/Chalé;Moinho Arroio Leão;0,00;4,8;https://www.instagram.com/moinhoarroioleao/;(55) 99191-7557;
175;Condado do Cipreste;Condor;Noroeste Colonial;Cabana/Chalé;Condado do Cipreste;200,00;4,9;https://www.instagram.com/condadodocipreste/;(55) 99974-5297;
176;Chácara Da Nona;Condor;Noroeste Colonial;Cabana/Chalé;Chácara Da Nona;0,00;4,9;https://www.facebook.com/chacaradanonacondor/;(55) 3379-0600;
177;Hotel Vera Cruz;Ijui;Noroeste Colonial;Hotel;Hotel Vera Cruz;240,00;4,2;https://hotelveracruz.com.br/;(55) 99134-4812;
178;Hotel Santo Expedito;Ijui;Noroeste Colonial;Pousada;Hotel Santo Expedito;0,00;4,3;https://www.instagram.com/hotelsantoexpedito.ijui/;(55) 3331-2133;
179;Hotel e Pousada Jardim Itália;Ijui;Noroeste Colonial;Pousada;Hotel e Pousada Jardim Itália;0,00;4,5;https://lemeshotel.com.br/hotel/hotel-e-pousada-jardim-italia/;(55) 99157-4632;
180;Hotel Do Comercio;Ijui;Noroeste Colonial;Hotel;Hotel Do Comercio;0,00;3,5;https://www.facebook.com/p/Hotel-do-Com%C3%A9rcio-100063704269180/;(55) 3331-2327;
181;Hotel e Restaurante Villa Roma;Ijui;Noroeste Colonial;Hotel;Hotel e Restaurante Villa Roma;0,00;4,7;https://www.instagram.com/hotelerestaurantevillaroma/;(55) 99141-4550;
182;Pousada Turra;Ijui;Noroeste Colonial;Pousada;Pousada Turra;0,00;4;https://www.facebook.com/profile.php?id=100085583280664;(55) 99682-6079;
183;Pousada 285 Ijui;Ijui;Noroeste Colonial;Pousada;Pousada 285 Ijui;0,00;3,4;https://www.instagram.com/285pousada/;(55) 99171-7161;
184;Pousada Vó Gabriela;Ijui;Noroeste Colonial;Pousada;Pousada Vó Gabriela;0,00;3,7;https://www.facebook.com/pousadavogabriela/?locale=pt_BR;(55) 99102-3742;
185;Baixinha Hotel e Restaurante;Ijui;Noroeste Colonial;Hotel;Baixinha Hotel e Restaurante;0,00;4;https://www.instagram.com/baixinhahotel/;(55) 99216-4266;
186;Hotel D'Nápoles;Ijuí;Noroeste Colonial;Hotel;Hotel D'Nápoles;276,00;4,3;https://www.hoteldnapoles.com.br/;(55) 3332-9243;
187;City Hotel Ijuí;Ijuí;Noroeste Colonial;Hotel;City Hotel Ijuí;220,00;3,4;https://cityhotelijui.com.br/;(55) 3333-0532;
188;Hotel do Parque;Ijuí;Noroeste Colonial;Hotel;Hotel do Parque;170,00;4,8;https://www.hoteldoparqueijui.com/;(55) 99219-2821;
189;Hotel Ijuí;Ijuí;Noroeste Colonial;Hotel;Hotel Ijuí;350,00;4,3;https://hotelijui.com.br/;(55) 3333-1313;
190;Hotel Life;Ijuí;Noroeste Colonial;Hotel;Hotel Life;285,00;3,8;http://lifehotelijui.com.br/;(55) 3332-7879;
191;Hotel e Restaurante Jardim Europa;Ijuí;Noroeste Colonial;Hotel;Hotel e Restaurante Jardim Europa;332,00;4,4;https://www.hoteljardimeuropa.com.br/site/index.php;(55) 99932-0343;
192;Nossa Casa Churrascaria e Hotel;Ijuí;Noroeste Colonial;Hotel;Nossa Casa Churrascaria e Hotel;360,00;4,4;https://www.hotelnossacasa.com/;(55) 3333-4958;
193;Apart Hotel Ijuí;Ijuí;Noroeste Colonial;Hotel;Apart Hotel Ijuí;275,00;4;https://aparthotelijui.com.br/;(55) 98405-1111;
194;Hotel 44;Ijuí;Noroeste Colonial;Hotel;Hotel 44;339,00;4,6;https://www.hotel44ijui.com.br/2017/index.php;(55) 3331-7504;
195;Pousada Valentini;Jóia;Noroeste Colonial;Pousada;POUSADA VALENTINI;0,00;4;https://gigahoteis.com.br/cidade/hotel-em-joia-rs;(55) 99638-1204;
196;Cabanas Camponês;Jóia;Noroeste Colonial;Cabana/Chalé;Cabanas Camponês;0,00;5;https://www.instagram.com/cabanascampones/;(55) 99137-6750;
197;Hotel Lages Panambi;Panambi;Noroeste Colonial;Hotel;Hotel Lages Panambi;240,00;3,9;https://www.lageshotel.com.br/;(55) 3375-3934;
198;Elsenau Hotel;Panambi;Noroeste Colonial;Hotel;Elsenau Hotel;312,00;4,5;https://www.elsenau.com.br/;(55) 3376-9200;
199;Hotel Solar do Parque;Panambi;Noroeste Colonial;Hotel;Hotel Solar do Parque - Panambi/RS;400,00;4,8;https://www.solardoparque.com.br/;(55) 3375-4469;
200;Hotel Borges 205;Panambi;Noroeste Colonial;Hotel;Hotel Borges 205;0,00;4,1;https://www.instagram.com/hotelborgespanambi/;(55) 3375-1487;
201;Hotel Dom Diego;Panambi;Noroeste Colonial;Hotel;Hotel Dom Diego;0,00;4,5;https://www.facebook.com/HotelDomDiego/?locale=pt_BR;(55) 3375-0809;
202;Pousada Arco-Íris;Panambi;Noroeste Colonial;Pousada;Pousada Arco-Íris;130,00;3,7;https://www.instagram.com/pousadaarco/;(55) 99712-2451;
